COUNTRY,INDEX_TYPE,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
Qatar,Consumer price index (CPI),,,,,,,1.19769068,-0.237411856,-0.220217376,1.039441834,-0.176155581,-0.430578104,1.740394159,0.337943769,0.277777778,1.132271468,0.582052248,0.691016782,0.912778905,1.072026801,0.795492211,0.624794476,1.176470588,0.839793282,0.096092249,0,0.512,0.955109838,0.630715863,0.971482294,0.217256363,0.991018891,-0.21465808,-0.030731407,-0.209037811,0.240280944,0.307314075,0.367647059,-0.665445665,0.322659947,-0.278739241,-0.767907605,0.328112425,0.465876836,-0.641832755,-0.836815702,-2.148052478,0.163251129,-0.083226411,1.103668483,0.628196766,1.262195538,2.422180299,-0.167746604,1.489193463,1.44137125,2.563364055,-1.28553153,0.973543636,0.190953201,1.959007686,-0.753838139,-0.355080742,0.130143778,1.729900353
Syrian Arab Republic,Consumer price index (CPI),,,,,,,-0.585238716,0.691167358,4.400208294,0.170041037,-1.896700014,1.598837209,6.864681972,15.04249894,6.758528972,7.650783764,12.54378174,8.412308746,6.080992127,11.3034737,6.934138411,-5.422177009,0.408734,4.552758436,7.653688525,13.40059008,9.215274864,4.979635749,11.78537442,13.73191016,9.367802856,9.407738879,7.828890386,5.615154625,-0.011408145,-1.671272703,0.272894096,1.750340725,-0.292742513,-1.007963162,2.301038284,5.471777608,2.537593242,2.926087929,11.1021586,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Consumer price index (CPI),1.867046673,0.555397379,0.524721448,1.208788714,1.574376508,1.095667669,1.268836945,1.884626143,1.301498587,2.370853625,0.753770751,0.748131554,0.707214437,0.316008791,0.805040303,1.006942888,1.271917253,1.371110426,0.026655249,0.576243713,0.625933105,0.724213714,0.666713325,0.322988714,0.286178699,0.165382851,0.291365923,0.355078171,0.382775466,1.515633074,0.104163742,0.059909223,-0.406517989,-0.370202663,0.073041832,-0.0666411,-0.96224474,3.979296942,-0.490555199,-0.258201732,-0.944775326,-1.540062986,0.020510016,0.645933014,0.258039322,0.216799396,-0.162222448,5.680241021,-0.102501682,-0.089780998,0.208607465,0.429157059,0.510236622,0.453708992,0.871734942,1.045808936,0.675529113,0.390901536,0.597866078,0.304775837,0.291695786,0.466567698,0.473447725,0.360165676,0.619056164
United Arab Emirates,Consumer price index (CPI),0.525036118,-0.676528323,-0.90700547,0.879692286,0.53309797,-0.502177272,-0.038823986,0.981569098,1.234265734,-0.728767313,-0.059146893,0.219321149,0.580102821,-0.107062683,-0.041488038,0.387382402,0.306642778,0.072132724,0.271160843,0.609317769,0.411690654,0.379506641,0.712260329,1.025641026,0.862612388,1.210486497,1.098508239,1.30838718,-0.060290664,-0.295284966,0.713330361,0.907481186,0.159809482,0.835314729,0.102385902,-0.061988594,1.296365215,2.812776338,-0.619643714,0.075201294,-1.128652494,-0.812439458,0.308286257,-0.518019117,-0.539244117,-0.667464403,-0.604394333,-0.580157973,-0.394497717,-0.081287673,0.579399817,0.469615854,1.330579695,1.149644277,2.967574251,1.313767162,-0.843710891,-0.058123226,0.437534824,0.955808216,0.522199461,-0.027765137,0.790673564,0.211817067,0.030198944
"Yemen, Republic of",Consumer price index (CPI),,,,,,,2.605115334,3.553556432,3.934389146,3.618285166,4.988222989,7.98620489,5.557978875,-1.612409154,-1.55892289,4.509584247,4.467330189,2.7676924,1.816552676,1.68529766,1.769041916,1.772989211,1.15093029,4.15567939,2.083935446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Republic of",Consumer price index (CPI),,,,,,,1.636408342,5.504656707,2.662106881,0.827340492,2.453672841,2.784194499,2.251465571,1.172443934,1.672969598,1.119324733,1.139531063,3.248942908,2.927218404,2.394263099,2.637204188,1.914378973,1.242707699,5.020006945,1.832821607,2.18841314,2.317828166,1.89612839,3.819936512,1.079067814,4.913564041,4.014640452,7.6549711,10.46820237,5.335953331,5.488696462,2.743209441,0.642338312,3.584346107,6.976057811,3.202882535,-0.537988205,2.111864908,2.02191396,0.94258104,0.657866119,1.677769119,0.427604833,2.363733848,-0.11907071,1.910389624,1.628182356,2.359452374,2.675014229,6.014412417,2.692810458,6.262729124,12.55390513,8.301404853,5.974842767,4.247032641,11.17238925,5.344855177,3.311560079,3.60241141
West Bank and Gaza,Consumer price index (CPI),0.19448673,-1.00351441,0.861243561,1.901254932,1.297939996,0.464699904,0.063415472,1.324515427,1.586033534,0.35623371,-0.045348143,0.738342785,1.197154769,1.104458231,-0.454038373,1.250512585,0.459124663,0.445257492,-0.398004772,0.929468163,1.006480283,0.636289571,-1.30530233,1.920673995,0.014635242,-0.027988394,0.852589399,0.039477122,0.64530859,-0.895686059,-0.025432481,0.317924106,-0.687560906,1.070031742,-0.466773117,-0.487602811,0.433421279,-0.600666321,0.26300271,0.488718658,0.013858792,0.002360259,1.540758248,0.32992509,-0.271298383,-0.389599371,-1.184804275,-0.196026314,1.215087053,-0.256545191,1.139577277,0.07424161,0.361375352,1.484863682,1.925437535,-0.093022481,0.88828458,1.26179661,1.512879881,0.766070656,7.415534448,16.18735864,16.56254885,6.550821587,26.56603052
"Afghanistan, Islamic Republic of",Consumer price index (CPI),-1.063450428,-6.45447198,-6.304490321,0.636289501,1.202614231,-1.455907963,1.185879857,4.087861114,4.539002088,3.059529901,0.764349659,2.358610055,3.338436425,1.124902108,0.543475674,-0.237998333,4.213836582,2.017069539,1.192986623,1.073325965,2.409994801,1.102597625,0.591499413,0.862443638,-0.015118297,-1.185476742,-1.420948085,0.701978862,2.759120597,0.75665084,0.300241611,1.563082186,2.01844644,1.037005738,2.389516707,-1.001584938,0.862911771,0.400133031,-1.301899146,0.116614159,1.691865902,0.352121053,1.969101303,-1.486661734,0.893261858,2.155368694,5.474280824,-2.521817021,0.710422001,0.652666035,1.905508541,1.875837664,5.682989068,4.607258711,3.099797087,1.961612432,-1.656123257,-0.385832093,-3.349914597,-3.674935575,-1.85560073,-1.120487155,-0.466851105,-2.814689017,1.030461749
Bangladesh,Consumer price index (CPI),,,,,,,0.704130399,4.158988654,4.192486237,2.689489826,0.340225564,4.496615035,1.676887257,0.762249196,-1.054729873,3.621515156,3.100571289,1.591346595,-0.36994929,2.968772642,2.835681742,1.871397048,-0.527261431,2.611455291,2.235712171,1.724997989,-0.430264011,2.611803956,2.099428695,1.402684055,-0.663974877,2.515581248,1.995682629,1.363453121,-0.249989347,2.651401882,2.059953668,1.202870579,-0.419022549,2.542247158,1.964962121,1.306658411,-0.32977247,2.522994379,2.158120989,1.067242368,-0.069995897,2.470895126,2.18385386,0.606668743,0.138715335,2.477389811,2.583953348,0.771015061,1.088236883,4.024929978,2.696619976,0.83957931,2.271035186,4.122757262,2.568954642,0.992340806,1.779733732,4.97389318,2.919613482
Bhutan,Consumer price index (CPI),,,,,,,,,,,,,,,,,,,2.260723667,3.548802784,2.312216848,1.055972375,1.396785267,3.417283135,0.725678482,0.674750465,0.301072606,1.507890926,1.011936209,0.181199038,0.574230119,1.023063566,1.893233612,1.686996048,0.744155458,0.75800649,0.707582114,0.696925827,0.385682096,0.474279419,1.512756445,0.633294174,0.218598136,0.349038182,1.060921796,1.066207535,1.879706876,3.474221433,1.049273251,2.520154181,1.028492964,0.460985592,2.706949095,1.343146761,1.456520347,0.57944077,1.184896277,0.638656552,1.062644381,1.63311736,1.464298497,0.370637774,-0.52439746,0.496271516,1.394317774
